model,precision_weighted,recall_weighted,f1_weighted,auroc_weighted_ovr
MLP,0.7627434455189911,0.7730443757616504,0.761082800619784,0.907460921587203
RF,0.753982391964834,0.7770900702011222,0.7444952488898581,0.9393055938877559
SVM,0.793293682000285,0.7992184621479792,0.7894968847562013,0.9355723809438512
TabPFN-Anchor,0.8582936772898772,0.8544910801911875,0.8522744548363491,0.9529058182915807
XGBoost,0.8042786089614403,0.8164175381038422,0.8019754276907491,0.9481384124732507
