model,BLCA,BRCA,COADREAD,GEA,HNSC,KIRCKICH,LGGGBM,LUAD,LUSC,SKCM,THCA,UCEC,Average
MLP,0.7138955823293173,0.8443993432251469,0.6516932171878107,0.5843425731853339,0.816305140056964,0.9341517857142856,0.7654226540873859,0.9097546781269584,0.770266404434114,0.6064588843745172,0.7599901367796585,0.7763132079359153,0.7610828006197842
RF,0.7506056583808268,0.8903770347714473,0.6535496655659666,0.5357118502065311,0.8577127170503123,0.9417307370884171,0.7097698561132055,0.783615443636927,0.8223387063499704,0.4606988216010772,0.8068948139101201,0.7209376820034944,0.7444952488898581
SVM,0.8033218435596863,0.8646170450069044,0.6657636758212976,0.6089374316710117,0.8484848009023328,0.9494477172312225,0.8443725464005756,0.8669558458632485,0.8607383436410792,0.6054450560332912,0.7959867650453564,0.7598915458984087,0.7894968847562013
TabPFN-Anchor,0.881686082292445,0.9328649134303146,0.7691847336959162,0.7721900345601228,0.900689658824134,0.9963497934110641,0.8699715524265242,0.8799549961869099,0.8767667906080145,0.7250600292739606,0.7840883705488094,0.838486502777975,0.8522744548363493
XGBoost,0.7872848537005164,0.9352878854764453,0.7698468420722425,0.609205091287958,0.8707439969653329,0.9653790087463556,0.829682156309161,0.8752641066698892,0.8173918661308506,0.6272647224570302,0.7710389920379179,0.7653156104352893,0.801975427690749
